,id,car_brand,car_model,car_address,car_title,dealer_name
0,576000,TOYOTA,ALTIS ,臺中市,【全台最便宜不用再看了】少跑原版件認證車 正17年 小改款11.5代 美車!賞車下訂送大螢幕 可客製化改裝! 價格超殺!,永貿汽車
1,575887,TOYOTA,INNOVA,屏東縣,【2.0客貨兩用★全原廠保養】省油耐操✔一手車✔ABS✔全原鈑件✔可全額貸✔,正大汽車
2,575862,HONDA,HR-V,臺南市,可網購!S旗艦版 一手只跑4.5萬 LED頭燈 六安 原廠影音 快撥 可全貸 不用殺價就很便宜!,金台南汽車(大同一店)
3,575825,MITSUBISHI,COLT PLUS ,屏東縣,【PLUS儀錶板★僅跑6萬5】盲點偵測✔IKEY✔藍芽✔胎壓偵測✔倒車雷達✔ISOFIX兒童安全椅,正大汽車
4,575804,TOYOTA,VIOS ,臺南市,可網購!只跑1.7萬 17年式改版 手自排 新引擎 ABS 雙安 代步好選擇 可全貸 不用殺價就很便宜!,金台南汽車(大同一店)
5,575662,MITSUBISHI,OUTLANDER ,臺中市,【全台最便宜不用再看了】僅跑5萬原版件認證車 正17年 四輪傳動 前為公家機關主管座車 大螢幕影音 後座冷氣出風口!,永貿汽車
6,575654,LUXGEN,S5 TURBO ECO HYPER,臺中市,僅跑4.1萬公里，小改款，新車頭，ECO版，更省油、實惠，一手車，低里程，渦輪增壓，定速、循跡防滑,億昇汽車
7,575640,HONDA,CR-V ,臺南市,可網購!18年式 S版 大包 ACC 電動尾門 電動椅 全景天窗 車道偏移 少跑里程保證 全車原鈑件 原廠保養!,金台南汽車(大同一店)
8,575624,HONDA,HR-V,臺南市,可網購!閃蝶藍 S旗艦版  一手車 原廠影音 LED 八安 全車原鈑件 只跑長途 可全貸 不用殺價就很便宜!,金台南汽車(大同一店)
9,575617,SUBARU,FORESTER ,臺南市,特價!AWD 19年式新款 最頂級 i-S EYESIGHT 只跑2.8萬里程保證 ACC 天窗 AEB 全車原鈑件!,金台南汽車(大同一店)
10,575616,HONDA,HR-V,屏東縣,【一手美車★IKEY】車身動態穩定✔4安✔定速巡航✔換檔快撥✔循跡防滑✔胎壓監控✔原鈑✔,正大汽車
11,575573,TOYOTA,SIENTA,臺中市,【特價–不用殺價就超便宜】正2019年 僅跑1萬多! 認證車 1800CC有力省稅 原廠新車保固至2023.03月,永貿汽車
12,575505,FORD,ECOSPORT ,臺南市,可網購!原裝進口 一手只跑1.5萬 根本新車 TCS 六安 原廠保養 全車原鈑件 可全貸 不用殺價就很便宜!,金台南汽車(大同一店)
13,575486,TOYOTA,CAMRY ,臺中市,【全台最便宜不用再看了】僅跑2萬 原廠新車保固至2023/05 原版原漆已認證 真的跟新車沒兩樣等您來賞車~~~,永貿汽車
14,575472,NISSAN,TIIDA 5D ,高雄市,正一手用車 小車大空間 恆溫 抬頭顯示 ABS 僅跑8萬多公里 不用殺價就很便宜,君豪汽車
15,575446,BENZ,A-CLASS W176,臺南市,特價!總代理 一手只跑6萬 360匹馬力 多項改裝 全景天窗 記憶椅 NAVI 原廠保養紀錄都在 可全貸!,金台南汽車(大同一店)
16,575326,TOYOTA,WISH ,屏東縣,※里程履約保證僅跑7萬※限量送影音系統 經典絕版七人座 絕佳車況 後座出風口 恆溫空調 霧燈 皮椅 七速手自排 原廠保養,正大汽車建國店
17,575320,TOYOTA,RAV4 ,屏東縣,里程履約保證僅跑3萬 最頂級旗艦版 原廠保固 環景系統 電動尾門 ACC自動跟車 盲點偵測 後座出風口 IK 行車紀錄器,正大汽車建國店
18,575234,NISSAN,iTIIDA ,屏東縣,【頂級旗艦豪華影音版★BSM盲點偵測★僅跑4萬】✔一手女用車✔倒車顯影✔導航✔藍芽✔日行燈✔雙色鋁圈✔恆溫✔定速,正大汽車
19,575150,MITSUBISHI,ZINGER,高雄市,僅跑5萬多、雙安、ABS、後出風口、定速巡航、無菸車、內外超優 ㊣高雄中古車推薦模範店：三力汽車,三力汽車
20,575074,HONDA,CIVIC,高雄市,VTi-S天窗頂級版 升級I-KEY 空力套件 尾翼 雙出排氣管 DVD影音 HID頭燈 僅跑8萬公里,君豪汽車
21,575049,TOYOTA,ALTIS ,屏東縣,【小改版★IKEY★定速】一手車✔里程保證✔循跡防滑✔車身穩✔新車保固中✔LED日行燈,正大汽車
22,575047,TOYOTA,RAV4 ,屏東縣,【尊爵2.0★ACC自動跟車★360環景】✔9安✔循跡防滑✔定速✔電動椅✔IKEY✔盲點偵測✔,正大汽車
23,574953,HONDA,CR-V ,臺南市,2018年式 1.5T S版 Acc跟車系統 全景天窗 新車113 僅跑5萬 一手車 里程保證 內外漂亮,台新汽車
24,574927,LUXGEN,U6 GT,屏東縣,【極新★僅跑8千★VR&AR環景影像★電動尾門】✔新車保固中✔IKEY✔HUD抬顯✔6安✔恆溫✔定速✔循跡防滑✔天窗,正大汽車
25,574921,BENZ,CLA-CLASS,臺南市,總代理 小改款 僅跑2萬 一手車 原鈑件 原廠保養 內外漂亮如新,台新汽車
26,574906,NISSAN,SUPER SENTRA ,臺南市,可網購!17年式改版 AERO豪華版 里程保證 大包 影音 iKEY 恆溫 全車原鈑件 可全貸 !,金台南汽車(大同一店)
27,574894,TOYOTA,C-HR,臺南市,小改款 有TSS跟車系統 一手車 原鈑件 跑5萬 原廠保養 里程保證 內外漂亮如新 新車保固中,台新汽車
28,574874,TOYOTA,ALTIS ,臺中市,【全台最便宜不用再看了】僅跑5萬 原版件認證車 車況與車內氣氛超好 皮椅如新 等您來鑑定 賞車下定送大螢幕 可客製化改裝,永貿汽車
29,574860,LUXGEN,U7 TURBO ,臺南市,可網購!4WD旗艦版 一手只跑6.5萬 內外如新 天窗 電動椅 環景 全車原鈑件 可全貸 不用殺價就很便宜!,金台南汽車(大同一店)
